# id: 'quast_custom'
# section_name: 'CLUSTER: Quast'
# format: 'tsv'
# description: 'QUAST is a quality assessment tool for genome assemblies, written by the Center for Algorithmic Biotechnology.DOI: 10.1093/bioinformatics/btt086.'
"(quast) Assembly"	"(quast) # contigs (>= 0 bp)"	"(quast) # contigs (>= 1000 bp)"	"(quast) # contigs (>= 5000 bp)"	"(quast) # contigs (>= 10000 bp)"	"(quast) # contigs (>= 25000 bp)"	"(quast) # contigs (>= 50000 bp)"	"(quast) Total length (>= 0 bp)"	"(quast) Total length (>= 1000 bp)"	"(quast) Total length (>= 5000 bp)"	"(quast) Total length (>= 10000 bp)"	"(quast) Total length (>= 25000 bp)"	"(quast) Total length (>= 50000 bp)"	"(quast) # contigs"	"(quast) Largest contig"	"(quast) Total length"	"(quast) GC (%)"	"(quast) N50"	"(quast) N90"	"(quast) auN"	"(quast) L50"	"(quast) L90"	"(quast) # N's per 100 kbp"	"sample"	"cluster"	"step"
"Catelyn-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9239"	"9239"	"9239"	"0"	"0"	"0"	"1"	"9239"	"9239"	"41.80"	"9239"	"9239"	"9239.0"	"1"	"1"	"0.00"	"Catelyn-MN090277"	"cl0"	"consensus"
"Rickon-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9233"	"9233"	"9233"	"0"	"0"	"0"	"1"	"9233"	"9233"	"41.75"	"9233"	"9233"	"9233.0"	"1"	"1"	"0.00"	"Rickon-MN090277"	"cl0"	"consensus"
"Daenerys-reference_cl0_consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12458"	"12458"	"12458"	"12458"	"0"	"0"	"1"	"12458"	"12458"	"41.32"	"12458"	"12458"	"12458.0"	"1"	"1"	"80.27"	"Daenerys-reference"	"cl0"	"consensus"
"Eddard-reference_cl0_consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12427"	"12427"	"12427"	"12427"	"0"	"0"	"1"	"12427"	"12427"	"41.27"	"12427"	"12427"	"12427.0"	"1"	"1"	"96.56"	"Eddard-reference"	"cl0"	"consensus"
"Rickon-MN090277-MN090188_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9233"	"9233"	"9233"	"0"	"0"	"0"	"1"	"9233"	"9233"	"41.75"	"9233"	"9233"	"9233.0"	"1"	"1"	"0.00"	"Rickon-MN090277-MN090188"	"cl0"	"consensus"
"Jaime-MZ766668_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9019"	"9019"	"9019"	"0"	"0"	"0"	"1"	"9019"	"9019"	"41.57"	"9019"	"9019"	"9019.0"	"1"	"1"	"0.00"	"Jaime-MZ766668"	"cl1"	"consensus"
"Rickon-MN090188_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9057"	"9057"	"9057"	"0"	"0"	"0"	"1"	"9057"	"9057"	"41.47"	"9057"	"9057"	"9057.0"	"1"	"1"	"0.00"	"Rickon-MN090188"	"cl0"	"consensus"
"Bran-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"0.00"	"Bran-MN090277"	"cl0"	"consensus"
"Theon-virosaurus_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9288"	"9288"	"9288"	"0"	"0"	"0"	"1"	"9288"	"9288"	"38.81"	"9288"	"9288"	"9288.0"	"1"	"1"	"0.00"	"Theon-virosaurus"	"cl0"	"consensus"
"Daenerys-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9262"	"9262"	"9262"	"0"	"0"	"0"	"1"	"9262"	"9262"	"41.76"	"9262"	"9262"	"9262.0"	"1"	"1"	"43.19"	"Daenerys-MN090277"	"cl0"	"consensus"
"Jaime-virosaurus_cl0_consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"10499"	"10499"	"10499"	"10499"	"0"	"0"	"1"	"10499"	"10499"	"40.28"	"10499"	"10499"	"10499.0"	"1"	"1"	"28.57"	"Jaime-virosaurus"	"cl0"	"consensus"
"Jaime-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9223"	"9223"	"9223"	"0"	"0"	"0"	"1"	"9223"	"9223"	"41.94"	"9223"	"9223"	"9223.0"	"1"	"1"	"184.32"	"Jaime-MN090277"	"cl0"	"consensus"
"Jaime-reference_cl2_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9348"	"9348"	"9348"	"0"	"0"	"0"	"1"	"9348"	"9348"	"41.83"	"9348"	"9348"	"9348.0"	"1"	"1"	"0.00"	"Jaime-reference"	"cl2"	"consensus"
"Bran-MZ766668_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9590"	"9590"	"9590"	"0"	"0"	"0"	"1"	"9590"	"9590"	"41.80"	"9590"	"9590"	"9590.0"	"1"	"1"	"0.00"	"Bran-MZ766668"	"cl0"	"it1"
"Jorah-MZ766668_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9011"	"9011"	"9011"	"0"	"0"	"0"	"1"	"9011"	"9011"	"41.59"	"9011"	"9011"	"9011.0"	"1"	"1"	"11.10"	"Jorah-MZ766668"	"cl0"	"it1"
"Jorah-MN090277_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9010"	"9010"	"9010"	"0"	"0"	"0"	"1"	"9010"	"9010"	"41.59"	"9010"	"9010"	"9010.0"	"1"	"1"	"0.00"	"Jorah-MN090277"	"cl1"	"it1"
"Jon-reference_cl0_it1.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12414"	"12414"	"12414"	"12414"	"0"	"0"	"1"	"12414"	"12414"	"41.11"	"12414"	"12414"	"12414.0"	"1"	"1"	"193.33"	"Jon-reference"	"cl0"	"it1"
"Daenerys-MZ766668_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9008"	"9008"	"9008"	"0"	"0"	"0"	"1"	"9008"	"9008"	"41.45"	"9008"	"9008"	"9008.0"	"1"	"1"	"0.00"	"Daenerys-MZ766668"	"cl1"	"it1"
"Daenerys-MZ766668_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9590"	"9590"	"9590"	"0"	"0"	"0"	"1"	"9590"	"9590"	"41.82"	"9590"	"9590"	"9590.0"	"1"	"1"	"0.00"	"Daenerys-MZ766668"	"cl0"	"it1"
"Robb-reference_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9064"	"9064"	"9064"	"0"	"0"	"0"	"1"	"9064"	"9064"	"41.46"	"9064"	"9064"	"9064.0"	"1"	"1"	"0.00"	"Robb-reference"	"cl1"	"it1"
"Jon-virosaurus_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9763"	"9763"	"9763"	"0"	"0"	"0"	"1"	"9763"	"9763"	"41.56"	"9763"	"9763"	"9763.0"	"1"	"1"	"7128.96"	"Jon-virosaurus"	"cl0"	"it1"
"Daenerys-MN090277_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9007"	"9007"	"9007"	"0"	"0"	"0"	"1"	"9007"	"9007"	"41.45"	"9007"	"9007"	"9007.0"	"1"	"1"	"0.00"	"Daenerys-MN090277"	"cl1"	"it1"
"Tyrion-reference_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9066"	"9066"	"9066"	"0"	"0"	"0"	"1"	"9066"	"9066"	"41.71"	"9066"	"9066"	"9066.0"	"1"	"1"	"0.00"	"Tyrion-reference"	"cl1"	"it1"
"Tyrion-MN090277-MZ766668_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9007"	"9007"	"9007"	"0"	"0"	"0"	"1"	"9007"	"9007"	"41.67"	"9007"	"9007"	"9007.0"	"1"	"1"	"0.00"	"Tyrion-MN090277-MZ766668"	"cl1"	"it1"
"Jon-reference_cl3_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9064"	"9064"	"9064"	"0"	"0"	"0"	"1"	"9064"	"9064"	"41.55"	"9064"	"9064"	"9064.0"	"1"	"1"	"0.00"	"Jon-reference"	"cl3"	"it1"
"Arya-MN090240_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9015"	"9015"	"9015"	"0"	"0"	"0"	"1"	"9015"	"9015"	"38.91"	"9015"	"9015"	"9015.0"	"1"	"1"	"11.09"	"Arya-MN090240"	"cl0"	"it1"
"Tyrion-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9233"	"9233"	"9233"	"0"	"0"	"0"	"1"	"9233"	"9233"	"41.96"	"9233"	"9233"	"9233.0"	"1"	"1"	"10.83"	"Tyrion-MN090277"	"cl0"	"it1"
"Robb-MN090277-MN090188_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9056"	"9056"	"9056"	"0"	"0"	"0"	"1"	"9056"	"9056"	"41.46"	"9056"	"9056"	"9056.0"	"1"	"1"	"0.00"	"Robb-MN090277-MN090188"	"cl0"	"it1"
"Catelyn-virosaurus_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9688"	"9688"	"9688"	"0"	"0"	"0"	"1"	"9688"	"9688"	"41.55"	"9688"	"9688"	"9688.0"	"1"	"1"	"5739.06"	"Catelyn-virosaurus"	"cl1"	"it1"
"Jorah-MN090277-MZ766668_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9011"	"9011"	"9011"	"0"	"0"	"0"	"1"	"9011"	"9011"	"41.59"	"9011"	"9011"	"9011.0"	"1"	"1"	"11.10"	"Jorah-MN090277-MZ766668"	"cl1"	"it1"
"Eddard-MN090188_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9056"	"9056"	"9056"	"0"	"0"	"0"	"1"	"9056"	"9056"	"41.55"	"9056"	"9056"	"9056.0"	"1"	"1"	"0.00"	"Eddard-MN090188"	"cl0"	"it1"
"Tyrion-MN090277_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9091"	"9091"	"9091"	"0"	"0"	"0"	"1"	"9091"	"9091"	"41.83"	"9091"	"9091"	"9091.0"	"1"	"1"	"0.00"	"Tyrion-MN090277"	"cl1"	"it1"
"Jaime-MZ766668_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9542"	"9542"	"9542"	"0"	"0"	"0"	"1"	"9542"	"9542"	"41.85"	"9542"	"9542"	"9542.0"	"1"	"1"	"0.00"	"Jaime-MZ766668"	"cl0"	"it1"
"Daenerys-reference_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9064"	"9064"	"9064"	"0"	"0"	"0"	"1"	"9064"	"9064"	"41.55"	"9064"	"9064"	"9064.0"	"1"	"1"	"0.00"	"Daenerys-reference"	"cl1"	"it1"
"Sansa-MN090277-MN090240_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9229"	"9229"	"9229"	"0"	"0"	"0"	"1"	"9229"	"9229"	"40.03"	"9229"	"9229"	"9229.0"	"1"	"1"	"10.84"	"Sansa-MN090277-MN090240"	"cl0"	"it1"
"Robb-reference_cl0_consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12414"	"12414"	"12414"	"12414"	"0"	"0"	"1"	"12414"	"12414"	"41.26"	"12414"	"12414"	"12414.0"	"1"	"1"	"40.28"	"Robb-reference"	"cl0"	"consensus"
"Sansa-virosaurus_cl4_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9298"	"9298"	"9298"	"0"	"0"	"0"	"1"	"9298"	"9298"	"39.50"	"9298"	"9298"	"9298.0"	"1"	"1"	"2452.14"	"Sansa-virosaurus"	"cl4"	"it1"
"Robb-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.74"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Robb-MN090277"	"cl0"	"it1"
"Daenerys-MN090277-MZ766668_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9008"	"9008"	"9008"	"0"	"0"	"0"	"1"	"9008"	"9008"	"41.45"	"9008"	"9008"	"9008.0"	"1"	"1"	"0.00"	"Daenerys-MN090277-MZ766668"	"cl1"	"it1"
"Eddard-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Eddard-MN090277"	"cl0"	"it1"
"Arya-MN090277-MN090240_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9225"	"9225"	"9225"	"0"	"0"	"0"	"1"	"9225"	"9225"	"39.25"	"9225"	"9225"	"9225.0"	"1"	"1"	"10.84"	"Arya-MN090277-MN090240"	"cl0"	"it1"
"Jon-reference_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9776"	"9776"	"9776"	"0"	"0"	"0"	"1"	"9776"	"9776"	"42.33"	"9776"	"9776"	"9776.0"	"1"	"1"	"2741.41"	"Jon-reference"	"cl1"	"it1"
"Jaime-MN090277_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9009"	"9009"	"9009"	"0"	"0"	"0"	"1"	"9009"	"9009"	"41.64"	"9009"	"9009"	"9009.0"	"1"	"1"	"0.00"	"Jaime-MN090277"	"cl1"	"it1"
"Catelyn-virosaurus_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9768"	"9768"	"9768"	"0"	"0"	"0"	"1"	"9768"	"9768"	"41.88"	"9768"	"9768"	"9768.0"	"1"	"1"	"4340.70"	"Catelyn-virosaurus"	"cl0"	"it1"
"Arya-virosaurus_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9067"	"9067"	"9067"	"0"	"0"	"0"	"1"	"9067"	"9067"	"38.91"	"9067"	"9067"	"9067.0"	"1"	"1"	"341.90"	"Arya-virosaurus"	"cl0"	"it1"
"Eddard-MN090277-MN090188_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Eddard-MN090277-MN090188"	"cl0"	"it1"
"Sansa-MN090240_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9022"	"9022"	"9022"	"0"	"0"	"0"	"1"	"9022"	"9022"	"39.65"	"9022"	"9022"	"9022.0"	"1"	"1"	"11.08"	"Sansa-MN090240"	"cl0"	"it1"
"Sansa-reference_cl0_it1.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12408"	"12408"	"12408"	"12408"	"0"	"0"	"1"	"12408"	"12408"	"39.74"	"12408"	"12408"	"12408.0"	"1"	"1"	"193.42"	"Sansa-reference"	"cl0"	"it1"
"Sansa-virosaurus_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9771"	"9771"	"9771"	"0"	"0"	"0"	"1"	"9771"	"9771"	"40.35"	"9771"	"9771"	"9771.0"	"1"	"1"	"2261.80"	"Sansa-virosaurus"	"cl1"	"it1"
"Tyrion-MZ766668_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9591"	"9591"	"9591"	"0"	"0"	"0"	"1"	"9591"	"9591"	"41.95"	"9591"	"9591"	"9591.0"	"1"	"1"	"0.00"	"Tyrion-MZ766668"	"cl0"	"it1"
"Catelyn-MN090277-MN090188_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9235"	"9235"	"9235"	"0"	"0"	"0"	"1"	"9235"	"9235"	"41.76"	"9235"	"9235"	"9235.0"	"1"	"1"	"10.83"	"Catelyn-MN090277-MN090188"	"cl0"	"it1"
"Tyrion-MZ766668_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9007"	"9007"	"9007"	"0"	"0"	"0"	"1"	"9007"	"9007"	"41.67"	"9007"	"9007"	"9007.0"	"1"	"1"	"0.00"	"Tyrion-MZ766668"	"cl1"	"it1"
"Tyrion-virosaurus_cl17_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.68"	"9074"	"9074"	"9074.0"	"1"	"1"	"341.64"	"Tyrion-virosaurus"	"cl17"	"it1"
"Eddard-virosaurus_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.53"	"9074"	"9074"	"9074.0"	"1"	"1"	"341.64"	"Eddard-virosaurus"	"cl0"	"it1"
"Catelyn-MN090188_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9056"	"9056"	"9056"	"0"	"0"	"0"	"1"	"9056"	"9056"	"41.48"	"9056"	"9056"	"9056.0"	"1"	"1"	"0.00"	"Catelyn-MN090188"	"cl0"	"it1"
"Tyrion-reference_cl2_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9528"	"9528"	"9528"	"0"	"0"	"0"	"1"	"9528"	"9528"	"41.67"	"9528"	"9528"	"9528.0"	"1"	"1"	"5468.09"	"Tyrion-reference"	"cl2"	"it1"
"Jon-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Jon-MN090277"	"cl0"	"it1"
"Robb-MN090188_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9056"	"9056"	"9056"	"0"	"0"	"0"	"1"	"9056"	"9056"	"41.46"	"9056"	"9056"	"9056.0"	"1"	"1"	"0.00"	"Robb-MN090188"	"cl0"	"it1"
"Sansa-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9229"	"9229"	"9229"	"0"	"0"	"0"	"1"	"9229"	"9229"	"40.03"	"9229"	"9229"	"9229.0"	"1"	"1"	"10.84"	"Sansa-MN090277"	"cl0"	"it1"
"Catelyn-virosaurus_cl2_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.47"	"9074"	"9074"	"9074.0"	"1"	"1"	"341.64"	"Catelyn-virosaurus"	"cl2"	"it1"
"Bran-MN090277-MN090240_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Bran-MN090277-MN090240"	"cl0"	"it1"
"Eddard-reference_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9064"	"9064"	"9064"	"0"	"0"	"0"	"1"	"9064"	"9064"	"41.55"	"9064"	"9064"	"9064.0"	"1"	"1"	"0.00"	"Eddard-reference"	"cl1"	"it1"
"Bran-MN090188_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9056"	"9056"	"9056"	"0"	"0"	"0"	"1"	"9056"	"9056"	"41.55"	"9056"	"9056"	"9056.0"	"1"	"1"	"0.00"	"Bran-MN090188"	"cl0"	"it1"
"Jaime-reference_cl0_it1.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12418"	"12418"	"12418"	"12418"	"0"	"0"	"1"	"12418"	"12418"	"41.43"	"12418"	"12418"	"12418.0"	"1"	"1"	"1594.46"	"Jaime-reference"	"cl0"	"it1"
"Tyrion-MN090277-MZ766668_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9233"	"9233"	"9233"	"0"	"0"	"0"	"1"	"9233"	"9233"	"41.96"	"9233"	"9233"	"9233.0"	"1"	"1"	"10.83"	"Tyrion-MN090277-MZ766668"	"cl0"	"it1"
"Daenerys-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Daenerys-MN090277"	"cl0"	"it1"
"Catelyn-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9235"	"9235"	"9235"	"0"	"0"	"0"	"1"	"9235"	"9235"	"41.76"	"9235"	"9235"	"9235.0"	"1"	"1"	"10.83"	"Catelyn-MN090277"	"cl0"	"it1"
"Jaime-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9195"	"9195"	"9195"	"0"	"0"	"0"	"1"	"9195"	"9195"	"41.96"	"9195"	"9195"	"9195.0"	"1"	"1"	"10.88"	"Jaime-MN090277"	"cl0"	"it1"
"Jaime-reference_cl2_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9340"	"9340"	"9340"	"0"	"0"	"0"	"1"	"9340"	"9340"	"41.43"	"9340"	"9340"	"9340.0"	"1"	"1"	"5578.16"	"Jaime-reference"	"cl2"	"it1"
"Rickon-MN090188_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9056"	"9056"	"9056"	"0"	"0"	"0"	"1"	"9056"	"9056"	"41.46"	"9056"	"9056"	"9056.0"	"1"	"1"	"11.04"	"Rickon-MN090188"	"cl0"	"it1"
"Jaime-MN090277-MZ766668_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9185"	"9185"	"9185"	"0"	"0"	"0"	"1"	"9185"	"9185"	"41.88"	"9185"	"9185"	"9185.0"	"1"	"1"	"10.89"	"Jaime-MN090277-MZ766668"	"cl0"	"it1"
"Bran-reference_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9064"	"9064"	"9064"	"0"	"0"	"0"	"1"	"9064"	"9064"	"41.55"	"9064"	"9064"	"9064.0"	"1"	"1"	"0.00"	"Bran-reference"	"cl0"	"it1"
"Rickon-MN090277-MN090188_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.46"	"9232"	"9232"	"9232.0"	"1"	"1"	"1917.24"	"Rickon-MN090277-MN090188"	"cl0"	"it1"
"Bran-MN090277-MN090188_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Bran-MN090277-MN090188"	"cl0"	"it1"
"Jaime-virosaurus_cl21_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.76"	"9074"	"9074"	"9074.0"	"1"	"1"	"341.64"	"Jaime-virosaurus"	"cl21"	"it1"
"Jaime-virosaurus_cl0_it1.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"10468"	"10468"	"10468"	"10468"	"0"	"0"	"1"	"10468"	"10468"	"40.42"	"10468"	"10468"	"10468.0"	"1"	"1"	"5875.05"	"Jaime-virosaurus"	"cl0"	"it1"
"Jon-MN090240_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9022"	"9022"	"9022"	"0"	"0"	"0"	"1"	"9022"	"9022"	"41.54"	"9022"	"9022"	"9022.0"	"1"	"1"	"11.08"	"Jon-MN090240"	"cl0"	"it1"
"Sansa-virosaurus_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9770"	"9770"	"9770"	"0"	"0"	"0"	"1"	"9770"	"9770"	"40.03"	"9770"	"9770"	"9770.0"	"1"	"1"	"7123.85"	"Sansa-virosaurus"	"cl0"	"it1"
"Sansa-reference_cl3_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9022"	"9022"	"9022"	"0"	"0"	"0"	"1"	"9022"	"9022"	"39.71"	"9022"	"9022"	"9022.0"	"1"	"1"	"0.00"	"Sansa-reference"	"cl3"	"it1"
"Jon-MN090277-MN090240_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"10.83"	"Jon-MN090277-MN090240"	"cl0"	"it1"
"Theon-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9225"	"9225"	"9225"	"0"	"0"	"0"	"1"	"9225"	"9225"	"38.86"	"9225"	"9225"	"9225.0"	"1"	"1"	"2504.07"	"Theon-MN090277"	"cl0"	"it1"
"Jaime-MN090277-MZ766668_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9010"	"9010"	"9010"	"0"	"0"	"0"	"1"	"9010"	"9010"	"41.64"	"9010"	"9010"	"9010.0"	"1"	"1"	"0.00"	"Jaime-MN090277-MZ766668"	"cl1"	"it1"
"Tyrion-virosaurus_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9924"	"9924"	"9924"	"0"	"0"	"0"	"1"	"9924"	"9924"	"42.40"	"9924"	"9924"	"9924.0"	"1"	"1"	"3385.73"	"Tyrion-virosaurus"	"cl1"	"it1"
"Arya-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9225"	"9225"	"9225"	"0"	"0"	"0"	"1"	"9225"	"9225"	"39.25"	"9225"	"9225"	"9225.0"	"1"	"1"	"10.84"	"Arya-MN090277"	"cl0"	"it1"
"Catelyn-reference_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9298"	"9298"	"9298"	"0"	"0"	"0"	"1"	"9298"	"9298"	"41.49"	"9298"	"9298"	"9298.0"	"1"	"1"	"2452.14"	"Catelyn-reference"	"cl1"	"it1"
"Sansa-reference_cl1_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9468"	"9468"	"9468"	"0"	"0"	"0"	"1"	"9468"	"9468"	"39.64"	"9468"	"9468"	"9468.0"	"1"	"1"	"3601.61"	"Sansa-reference"	"cl1"	"it1"
"Theon-reference_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9288"	"9288"	"9288"	"0"	"0"	"0"	"1"	"9288"	"9288"	"38.86"	"9288"	"9288"	"9288.0"	"1"	"1"	"3165.37"	"Theon-reference"	"cl0"	"it1"
"Rickon-MN090277_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.46"	"9232"	"9232"	"9232.0"	"1"	"1"	"1917.24"	"Rickon-MN090277"	"cl0"	"it1"
"Robb-reference_cl0_it1.consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12412"	"12412"	"12412"	"12412"	"0"	"0"	"1"	"12412"	"12412"	"41.11"	"12412"	"12412"	"12412.0"	"1"	"1"	"3230.74"	"Robb-reference"	"cl0"	"it1"
"Theon-MN090277-MN090240_cl0_it1.consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9225"	"9225"	"9225"	"0"	"0"	"0"	"1"	"9225"	"9225"	"38.86"	"9225"	"9225"	"9225.0"	"1"	"1"	"2504.07"	"Theon-MN090277-MN090240"	"cl0"	"it1"
