Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Surveillance_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OY659130,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"Suite 2, The Newnham Building, Chesterford Research Park, CB10 1XL",,2023-08-02,BA.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2022-01-30,SAMEA113346844,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
MW578033,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Gallagher,T., Young,E.L., Oakeson,K.F.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,2021-02-06,B.1.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,UT-UPHL-2101679988,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29845,partial,,,,USA,USA,,Homo sapiens,,2020-12-03,,PRJNA614995,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-2101679988/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OU819943,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR6635504,,"Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,2021-10-13,AY.9.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,RNA,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,complete,,,,Slovakia,Slovakia,,Homo sapiens,,2021-07-28,SAMEA9873269,PRJEB45305,"Severe acute respiratory syndrome coronavirus 2 isolate RNA genome assembly, complete genome: monopartite"
OW654045,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,2022-05-01,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29750,partial,,,,Germany:Europe/Germany/North Rhine-Westphalia,Germany,,Homo sapiens,,2022-03-23,SAMEA14172643,PRJEB44987,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OR299617,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Scotch,M., Lauer,K., Wieben,E.D., Cherukuri,Y., Cunningham,J.M., Klee,E.W., Harrington,J.J., Lau,J.S., McDonough,S.J., Mutawe,M., O'Horo,J.C., Rentmeester,C.E., Schlicher,N.R., White,V.T., Schneider,S.K., Vedell,P.T., Wang,X., Yao,J.D., Pritt,B.S., Norgan,A.P., Wieben,E., Cunningham,J., Klee,E., Harrington,J., Lau,J., McDonough,S., O'Horo,J., Rentmeester,C., Schlicher,N., Yao,J., White,V., Schneider,S., Vedell,P., Pritt,B., Norgan,A.","Mayo Clinic, Quantitative Health Sciences",USA,2023-07-20,AY.103,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,Mayo10352,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29807,partial,,,1,USA,USA,,Homo sapiens,,2021-09-02,,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/Mayo10352/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OQ081523,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR22834837,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-12-20,BE.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,VA-CDC-LC0955967,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29730,complete,,,,USA: Virginia,USA,VA,Homo sapiens,oronasopharynx,2022-12-08,SAMN32318903,PRJNA716984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-CDC-LC0955967/2022, complete genome"
PQ106977,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Putcharoen,O., Paitoonpong,L., Suwanpimolkul,G., Jantarabenjakul,W., Torvorapanit,P., Chantasrisawad,N., Chumpa,N., Rattanatumhi,K., Supataragul,A., Thippamom,N., Khunnawutmanotham,W., Wacharapluesadee,S.","King Chulalongkorn Memorial Hospital, Thai Red Cross Emerging Infectious Diseases Clinical Center",Thailand,2024-07-30,JN.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,CU-A24022-CSV,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29872,partial,,,,Thailand: Bangkok,Thailand,,Homo sapiens,oronasopharynx,2024-01-08,,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/THA/CU-A24022-CSV/2024 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OV046935,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7327144,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-11-25,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-11-01,SAMEA10970500,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OY967090,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"Quadram Institute Bioscience, Norwich Research Park Norwich Nr4 7Uq",,2023-12-09,BA.1.15.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2022-01-17,SAMEA13965544,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OU265639,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR5890246,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-06-28,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29884,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-04-28,SAMEA8699497,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OW372739,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,2022-04-05,AY.122,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,Denmark:Midtjylland,Denmark,,Homo sapiens,,2021-09-02,SAMEA13851524,PRJEB49401,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OP916544,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR22795005,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-11-29,BN.1.3,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,MO-CDC-QDX43583403,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29724,complete,,,,USA: Missouri,USA,MO,Homo sapiens,oronasopharynx,2022-11-09,SAMN31920918,PRJNA716985,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MO-CDC-QDX43583403/2022, complete genome"
OV232748,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7546819,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-12-15,AY.4.2.3,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-11-21,SAMEA10834328,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OL748773,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR19296715,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2021-12-07,AY.3,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,NM-CDC-ASC210482319,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29811,partial,,,,USA: New Mexico,USA,NM,Homo sapiens,oronasopharynx,2021-11-16,SAMN23641238,PRJNA731148,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NM-CDC-ASC210482319/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OY834168,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,2023-12-03,BA.5.2.3,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29870,partial,,,,Denmark:Midtjylland,Denmark,,Homo sapiens,,2022-10-12,SAMEA114749266,PRJEB49401,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OY808932,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,2023-11-24,XAY.2.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29879,partial,,,,Denmark:Hovedstaden,Denmark,,Homo sapiens,,2022-12-28,SAMEA114706305,PRJEB49401,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OV787526,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR8162796,"Berkshire, Surrey Pathology Services Lighthouse,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-01-31,BA.1.17.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2022-01-21,SAMEA12622239,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OM725102,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Tegally,H., Wilkinson,E., Giovanetti,M., Iranzadeh,A., Fonseca,V., Giandhari,J., Doolabh,D., Pillay,S., San,E.J., Msomi,N., Mlisana,K., von Gottberg,A., Walaza,S., Allam,M., Ismail,A., Mohale,T., Glass,A.J., Engelbrecht,S., Van Zyl,G., Preiser,W., Petruccione,F., Sigal,A., Hardie,D., Marais,G., Hsiao,N.Y., Korsman,S., Davies,M.A., Tyers,L., Mudau,I., York,D., Maslo,C., Goedhals,D., Abrahams,S., Laguda-Akingba,O., Alisoltani-Dehkordi,A., Godzik,A., Wibmer,C.K., Sewell,B.T., Lourenco,J., Alcantara,L.C.J., Kosakovsky Pond,S.L., Weaver,S., Martin,D., Lessells,R.J., Bhiman,J.N., Williamson,C., de Oliveira,T., Olubayo,L.A.I., Joseph,R., Mbhele,N., Galvao,B., Hsiao,M., James,E.S.","University of Cape Town and National Health Laboratory Service, Department of Pathology, Faculty of Health Sciences",South Africa,2022-02-17,AY.38,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,NHLS-UCT-GP-L959,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29718,partial,,,1,South Africa,South Africa,,Homo sapiens,,2021-06-23,,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SouthAfrica/NHLS-UCT-GP-L959/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OL444711,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR16924837,"Pachucki,R., Verma,S.K., Bodnar,L., Pugliese,M.-M., Ali,M., Filippo,C.S., Roder,A.E., Woell,D., Jeong,B.S.","NJDOH PHEL-Virology's shared submissions, PHEL- Virology",USA,2021-11-12,AY.107,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,NJ-PHEL-V21025656,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29778,partial,,,,USA,USA,,Homo sapiens,,2021-10-22,SAMN23075554,PRJNA708324,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ-PHEL-V21025656/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OP657827,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR21872300,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-10-17,BA.5.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,VA-CDC-LC0895044,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29688,complete,,,,USA: Virginia,USA,VA,Homo sapiens,oronasopharynx,2022-09-23,SAMN31314993,PRJNA716984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-CDC-LC0895044/2022, complete genome"
OP350117,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR21392737,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-09-01,BA.5.2.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,WV-CDC-LC0851610,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29558,complete,,,,USA: West Virginia,USA,WV,Homo sapiens,oronasopharynx,2022-08-16,SAMN30622815,PRJNA716984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WV-CDC-LC0851610/2022, complete genome"
OL921374,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR21322645,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2021-12-20,AY.39,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,IA-CDC-ASC210396573,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29732,partial,,,,USA: Iowa,USA,IA,Homo sapiens,,2021-11-09,SAMN24143478,PRJNA731148,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IA-CDC-ASC210396573/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a gene, complete sequence; and ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OK578178,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR16224503,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2021-10-25,AY.44,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,ID-CDC-ASC210138148,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29813,partial,,,,USA: Idaho,USA,ID,Homo sapiens,oronasopharynx,2021-09-07,SAMN22087919,PRJNA731148,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-CDC-ASC210138148/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OX602282,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR5223689,,Liverpool,United Kingdom,2023-05-13,B.1.177,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2020-12-18,SAMEA7972820,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OQ879419,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR26478086,"Scribner,M.","California Department of Public Health, IDLB VRDL/COVIDNet",USA,2023-04-27,XBB.1.47.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CA-CDPH-500106440,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29771,partial,,,,USA,USA,,Homo sapiens,,2023-03-22,SAMN34408974,PRJNA750736,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-500106440/2023 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
ON668492,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR19524452,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,2022-06-06,BA.2.12.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,UT-UPHL-220530088536,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29724,partial,,,,USA,USA,,Homo sapiens,,2022-05-09,SAMN28842837,PRJNA614995,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-UPHL-220530088536/2022 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), and ORF3a protein (ORF3a) genes, complete cds; envelope protein (E) gene, partial cds; and membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OV098524,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7401160,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-11-26,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,2021-11-08,SAMEA11268179,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OW277747,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR9396947,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-03-27,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29850,partial,,,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,2022-03-14,SAMEA13663020,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
