# id: 'checkv'
# section_name: 'CLUSTER: Checkv'
# format: 'tsv'
# description: 'Checkv assesses the quality of metagenome-assembled viral genomes. '
# plot_type: 'table'
"(checkv) contig_id"	"(checkv) contig_length"	"(checkv) provirus"	"(checkv) proviral_length"	"(checkv) gene_count"	"(checkv) viral_genes"	"(checkv) host_genes"	"(checkv) checkv_quality"	"(checkv) miuvig_quality"	"(checkv) completeness"	"(checkv) completeness_method"	"(checkv) contamination"	"(checkv) kmer_freq"	"(checkv) warnings"	"sample"	"cluster"	"step"
"Daenerys-reference_cl0_itvariant-calling.consensus_ivar"	12420	"No"	""	13	10	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.15	""	"Daenerys-reference"	"cl0"	"itvariant-calling"
"Sansa-virosaurus_cl0_consensus"	9796	"No"	""	12	8	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Sansa-virosaurus"	"cl0"	"consensus"
"Sansa-virosaurus_cl0_it1.consensus_ivar"	9770	"No"	""	15	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Sansa-virosaurus"	"cl0"	"it1"
"Sansa-virosaurus_cl0_it2.consensus_ivar"	9769	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Sansa-virosaurus"	"cl0"	"it2"
"Sansa-virosaurus_cl0_itvariant-calling.consensus_ivar"	9769	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Sansa-virosaurus"	"cl0"	"itvariant-calling"
"Daenerys-reference_cl2_consensus"	9536	"No"	""	9	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Daenerys-reference"	"cl2"	"consensus"
"Daenerys-reference_cl2_it1.consensus_ivar"	9529	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-reference"	"cl2"	"it1"
"Daenerys-reference_cl2_it2.consensus_ivar"	9516	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-reference"	"cl2"	"it2"
"Daenerys-reference_cl2_itvariant-calling.consensus_ivar"	9518	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-reference"	"cl2"	"itvariant-calling"
"Daenerys-MN090277_cl1_consensus_consensus"	9015	"No"	""	10	7	0	"High-quality"	"High-quality"	99.99	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MN090277"	"cl1"	"consensus"
"Daenerys-MN090277_cl1_it1.consensus_ivar"	9007	"No"	""	7	6	0	"High-quality"	"High-quality"	99.27	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MN090277"	"cl1"	"it1"
"Daenerys-MN090277_cl1_it2.consensus_ivar"	8986	"No"	""	9	8	0	"High-quality"	"High-quality"	99.56	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MN090277"	"cl1"	"it2"
"Daenerys-MN090277_cl1_itvariant-calling.consensus_ivar"	8989	"No"	""	8	7	0	"High-quality"	"High-quality"	99.09	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MN090277"	"cl1"	"itvariant-calling"
"Tyrion-MZ766668_cl0_consensus_consensus"	9608	"No"	""	13	8	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.05	""	"Tyrion-MZ766668"	"cl0"	"consensus"
"Tyrion-MZ766668_cl0_it1.consensus_ivar"	9591	"No"	""	9	8	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.05	""	"Tyrion-MZ766668"	"cl0"	"it1"
"Tyrion-MZ766668_cl0_it2.consensus_ivar"	9591	"No"	""	9	8	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.05	""	"Tyrion-MZ766668"	"cl0"	"it2"
"Tyrion-MZ766668_cl0_itvariant-calling.consensus_ivar"	9590	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.03	""	"Tyrion-MZ766668"	"cl0"	"itvariant-calling"
"Eddard-reference_cl1_consensus_consensus"	9067	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-reference"	"cl1"	"consensus"
"Eddard-reference_cl1_it1.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-reference"	"cl1"	"it1"
"Eddard-reference_cl1_it2.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-reference"	"cl1"	"it2"
"Eddard-reference_cl1_itvariant-calling.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-reference"	"cl1"	"itvariant-calling"
"Jaime-MZ766668_cl0_consensus_consensus"	9581	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Jaime-MZ766668"	"cl0"	"consensus"
"Jaime-MZ766668_cl0_it1.consensus_ivar"	9542	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Jaime-MZ766668"	"cl0"	"it1"
"Jaime-MZ766668_cl0_it2.consensus_ivar"	9531	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Jaime-MZ766668"	"cl0"	"it2"
"Jaime-MZ766668_cl0_itvariant-calling.consensus_ivar"	9529	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Jaime-MZ766668"	"cl0"	"itvariant-calling"
"Tyrion-MZ766668_cl1_consensus"	9028	"No"	""	8	7	0	"High-quality"	"High-quality"	99.99	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-MZ766668"	"cl1"	"consensus"
"Tyrion-MZ766668_cl1_it1.consensus_ivar"	9007	"No"	""	6	5	0	"High-quality"	"High-quality"	99.27	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-MZ766668"	"cl1"	"it1"
"Tyrion-MZ766668_cl1_it2.consensus_ivar"	9005	"No"	""	7	6	0	"High-quality"	"High-quality"	99.23	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-MZ766668"	"cl1"	"it2"
"Tyrion-MZ766668_cl1_itvariant-calling.consensus_ivar"	9004	"No"	""	6	5	0	"High-quality"	"High-quality"	99.23	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-MZ766668"	"cl1"	"itvariant-calling"
"Eddard-MN090277_cl0_consensus"	9243	"No"	""	10	9	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Eddard-MN090277"	"cl0"	"consensus"
"Eddard-MN090277_cl0_it1.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Eddard-MN090277"	"cl0"	"it1"
"Eddard-MN090277_cl0_it2.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Eddard-MN090277"	"cl0"	"it2"
"Eddard-MN090277_cl0_itvariant-calling.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Eddard-MN090277"	"cl0"	"itvariant-calling"
"Robb-MN090277_cl0_consensus"	9235	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Robb-MN090277"	"cl0"	"consensus"
"Robb-MN090277_cl0_it1.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Robb-MN090277"	"cl0"	"it1"
"Robb-MN090277_cl0_it2.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Robb-MN090277"	"cl0"	"it2"
"Robb-MN090277_cl0_itvariant-calling.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Robb-MN090277"	"cl0"	"itvariant-calling"
"Jon-virosaurus_cl5_consensus"	9077	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jon-virosaurus"	"cl5"	"consensus"
"Jon-virosaurus_cl5_it1.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jon-virosaurus"	"cl5"	"it1"
"Jon-virosaurus_cl5_it2.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jon-virosaurus"	"cl5"	"it2"
"Jon-virosaurus_cl5_itvariant-calling.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jon-virosaurus"	"cl5"	"itvariant-calling"
"Sansa-virosaurus_cl4_consensus"	9298	"No"	""	9	8	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Sansa-virosaurus"	"cl4"	"consensus"
"Sansa-virosaurus_cl4_it1.consensus_ivar"	9298	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Sansa-virosaurus"	"cl4"	"it1"
"Sansa-virosaurus_cl4_it2.consensus_ivar"	9298	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Sansa-virosaurus"	"cl4"	"it2"
"Sansa-virosaurus_cl4_itvariant-calling.consensus_ivar"	9297	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Sansa-virosaurus"	"cl4"	"itvariant-calling"
"Daenerys-MZ766668_cl1_consensus"	9015	"No"	""	9	6	0	"High-quality"	"High-quality"	99.91	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MZ766668"	"cl1"	"consensus"
"Daenerys-MZ766668_cl1_it1.consensus_ivar"	9008	"No"	""	7	6	0	"High-quality"	"High-quality"	99.29	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MZ766668"	"cl1"	"it1"
"Daenerys-MZ766668_cl1_it2.consensus_ivar"	8995	"No"	""	8	7	0	"High-quality"	"High-quality"	99.24	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MZ766668"	"cl1"	"it2"
"Daenerys-MZ766668_cl1_itvariant-calling.consensus_ivar"	8997	"No"	""	7	6	0	"High-quality"	"High-quality"	99.17	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MZ766668"	"cl1"	"itvariant-calling"
"Jorah-MN090277-MZ766668_cl1_consensus"	9011	"No"	""	6	5	0	"High-quality"	"High-quality"	99.32	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MN090277-MZ766668"	"cl1"	"consensus"
"Jorah-MN090277-MZ766668_cl1_it1.consensus_ivar"	9011	"No"	""	6	5	0	"High-quality"	"High-quality"	99.32	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MN090277-MZ766668"	"cl1"	"it1"
"Jorah-MN090277-MZ766668_cl1_it2.consensus_ivar"	9011	"No"	""	6	5	0	"High-quality"	"High-quality"	99.32	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MN090277-MZ766668"	"cl1"	"it2"
"Jorah-MN090277-MZ766668_cl1_itvariant-calling.consensus_ivar"	9011	"No"	""	6	5	0	"High-quality"	"High-quality"	99.32	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MN090277-MZ766668"	"cl1"	"itvariant-calling"
"Arya-reference_cl0_consensus"	12402	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.88	"high kmer_freq may indicate large duplication"	"Arya-reference"	"cl0"	"consensus"
"Arya-reference_cl0_it1.consensus_ivar"	12402	"No"	""	17	14	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.82	"high kmer_freq may indicate large duplication"	"Arya-reference"	"cl0"	"it1"
"Arya-reference_cl0_it2.consensus_ivar"	12402	"No"	""	17	14	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.79	"high kmer_freq may indicate large duplication"	"Arya-reference"	"cl0"	"it2"
"Arya-reference_cl0_itvariant-calling.consensus_ivar"	12402	"No"	""	18	14	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.75	"high kmer_freq may indicate large duplication"	"Arya-reference"	"cl0"	"itvariant-calling"
"Eddard-virosaurus_cl0_consensus"	9085	"No"	""	10	9	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-virosaurus"	"cl0"	"consensus"
"Eddard-virosaurus_cl0_it1.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-virosaurus"	"cl0"	"it1"
"Eddard-virosaurus_cl0_it2.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-virosaurus"	"cl0"	"it2"
"Eddard-virosaurus_cl0_itvariant-calling.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-virosaurus"	"cl0"	"itvariant-calling"
"Sansa-MN090240_cl0_consensus"	9022	"No"	""	7	6	0	"High-quality"	"High-quality"	99.48	"AAI-based (high-confidence)"	0.0	1.0	""	"Sansa-MN090240"	"cl0"	"consensus"
"Sansa-MN090240_cl0_it1.consensus_ivar"	9022	"No"	""	15	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Sansa-MN090240"	"cl0"	"it1"
"Sansa-MN090240_cl0_it2.consensus_ivar"	9022	"No"	""	15	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Sansa-MN090240"	"cl0"	"it2"
"Sansa-MN090240_cl0_itvariant-calling.consensus_ivar"	9022	"No"	""	15	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Sansa-MN090240"	"cl0"	"itvariant-calling"
"Jon-reference_cl0_consensus"	12414	"No"	""	13	10	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.93	"high kmer_freq may indicate large duplication"	"Jon-reference"	"cl0"	"consensus"
"Jon-reference_cl0_it1.consensus_ivar"	12414	"No"	""	12	10	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.86	"high kmer_freq may indicate large duplication"	"Jon-reference"	"cl0"	"it1"
"Jon-reference_cl0_it2.consensus_ivar"	12414	"No"	""	12	10	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.8	"high kmer_freq may indicate large duplication"	"Jon-reference"	"cl0"	"it2"
"Jon-reference_cl0_itvariant-calling.consensus_ivar"	12414	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.72	"high kmer_freq may indicate large duplication"	"Jon-reference"	"cl0"	"itvariant-calling"
"Tyrion-MN090277-MZ766668_cl1_consensus"	9028	"No"	""	8	7	0	"High-quality"	"High-quality"	99.99	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-MN090277-MZ766668"	"cl1"	"consensus"
"Tyrion-MN090277-MZ766668_cl1_it1.consensus_ivar"	9007	"No"	""	6	5	0	"High-quality"	"High-quality"	99.27	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-MN090277-MZ766668"	"cl1"	"it1"
"Tyrion-MN090277-MZ766668_cl1_it2.consensus_ivar"	9005	"No"	""	7	6	0	"High-quality"	"High-quality"	99.23	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-MN090277-MZ766668"	"cl1"	"it2"
"Tyrion-MN090277-MZ766668_cl1_itvariant-calling.consensus_ivar"	9004	"No"	""	6	5	0	"High-quality"	"High-quality"	99.23	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-MN090277-MZ766668"	"cl1"	"itvariant-calling"
"Robb-reference_cl1_consensus_consensus"	9072	"No"	""	10	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-reference"	"cl1"	"consensus"
"Robb-reference_cl1_it1.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	99.95	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-reference"	"cl1"	"it1"
"Robb-reference_cl1_it2.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	99.95	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-reference"	"cl1"	"it2"
"Robb-reference_cl1_itvariant-calling.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	99.95	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-reference"	"cl1"	"itvariant-calling"
"Sansa-reference_cl0_consensus"	12408	"No"	""	12	10	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.78	"high kmer_freq may indicate large duplication"	"Sansa-reference"	"cl0"	"consensus"
"Sansa-reference_cl0_it1.consensus_ivar"	12408	"No"	""	16	13	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.58	"high kmer_freq may indicate large duplication"	"Sansa-reference"	"cl0"	"it1"
"Sansa-reference_cl0_it2.consensus_ivar"	12408	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.38	""	"Sansa-reference"	"cl0"	"it2"
"Sansa-reference_cl0_itvariant-calling.consensus_ivar"	12408	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.38	""	"Sansa-reference"	"cl0"	"itvariant-calling"
"Sansa-reference_cl1_consensus"	9469	"No"	""	11	8	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.03	""	"Sansa-reference"	"cl1"	"consensus"
"Sansa-reference_cl1_it1.consensus_ivar"	9468	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Sansa-reference"	"cl1"	"it1"
"Sansa-reference_cl1_it2.consensus_ivar"	9467	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Sansa-reference"	"cl1"	"it2"
"Sansa-reference_cl1_itvariant-calling.consensus_ivar"	9467	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Sansa-reference"	"cl1"	"itvariant-calling"
"Daenerys-virosaurus_cl15_consensus"	9088	"No"	""	9	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-virosaurus"	"cl15"	"consensus"
"Daenerys-virosaurus_cl15_it1.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-virosaurus"	"cl15"	"it1"
"Daenerys-virosaurus_cl15_it2.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-virosaurus"	"cl15"	"it2"
"Daenerys-virosaurus_cl15_itvariant-calling.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-virosaurus"	"cl15"	"itvariant-calling"
"Theon-MN090277_cl0_consensus"	9225	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Theon-MN090277"	"cl0"	"consensus"
"Theon-MN090277_cl0_it1.consensus_ivar"	9225	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Theon-MN090277"	"cl0"	"it1"
"Theon-MN090277_cl0_it2.consensus_ivar"	9225	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Theon-MN090277"	"cl0"	"it2"
"Theon-MN090277_cl0_itvariant-calling.consensus_ivar"	9225	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Theon-MN090277"	"cl0"	"itvariant-calling"
"Eddard-reference_cl0_consensus"	12427	"No"	""	14	11	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.75	"high kmer_freq may indicate large duplication"	"Eddard-reference"	"cl0"	"consensus"
"Eddard-reference_cl0_it1.consensus_ivar"	12417	"No"	""	9	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.82	"high kmer_freq may indicate large duplication"	"Eddard-reference"	"cl0"	"it1"
"Eddard-reference_cl0_it2.consensus_ivar"	12417	"No"	""	9	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.82	"high kmer_freq may indicate large duplication"	"Eddard-reference"	"cl0"	"it2"
"Eddard-reference_cl0_itvariant-calling.consensus_ivar"	12417	"No"	""	9	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.82	"high kmer_freq may indicate large duplication"	"Eddard-reference"	"cl0"	"itvariant-calling"
"Jaime-virosaurus_cl0_consensus"	10499	"No"	""	7	4	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.14	""	"Jaime-virosaurus"	"cl0"	"consensus"
"Jaime-virosaurus_cl0_it1.consensus_ivar"	10468	"No"	""	7	5	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.08	""	"Jaime-virosaurus"	"cl0"	"it1"
"Jaime-virosaurus_cl0_it2.consensus_ivar"	10463	"No"	""	6	5	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.07	""	"Jaime-virosaurus"	"cl0"	"it2"
"Jaime-virosaurus_cl0_itvariant-calling.consensus_ivar"	10461	"No"	""	6	5	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.04	""	"Jaime-virosaurus"	"cl0"	"itvariant-calling"
"Arya-virosaurus_cl0_consensus"	9068	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Arya-virosaurus"	"cl0"	"consensus"
"Arya-virosaurus_cl0_it1.consensus_ivar"	9067	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Arya-virosaurus"	"cl0"	"it1"
"Arya-virosaurus_cl0_it2.consensus_ivar"	9067	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Arya-virosaurus"	"cl0"	"it2"
"Arya-virosaurus_cl0_itvariant-calling.consensus_ivar"	9067	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Arya-virosaurus"	"cl0"	"itvariant-calling"
"Theon-reference_cl0_consensus"	9288	"No"	""	15	13	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Theon-reference"	"cl0"	"consensus"
"Theon-reference_cl0_it1.consensus_ivar"	9288	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Theon-reference"	"cl0"	"it1"
"Theon-reference_cl0_it2.consensus_ivar"	9288	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Theon-reference"	"cl0"	"it2"
"Theon-reference_cl0_itvariant-calling.consensus_ivar"	9288	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Theon-reference"	"cl0"	"itvariant-calling"
"Catelyn-MN090277_cl0_consensus"	9239	"No"	""	7	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Catelyn-MN090277"	"cl0"	"consensus"
"Catelyn-MN090277_cl0_it1.consensus_ivar"	9235	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Catelyn-MN090277"	"cl0"	"it1"
"Catelyn-MN090277_cl0_it2.consensus_ivar"	9235	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Catelyn-MN090277"	"cl0"	"it2"
"Catelyn-MN090277_cl0_itvariant-calling.consensus_ivar"	9235	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Catelyn-MN090277"	"cl0"	"itvariant-calling"
"Bran-MN090277-MN090188_cl0_consensus"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Bran-MN090277-MN090188"	"cl0"	"consensus"
"Bran-MN090277-MN090188_cl0_it1.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Bran-MN090277-MN090188"	"cl0"	"it1"
"Bran-MN090277-MN090188_cl0_it2.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Bran-MN090277-MN090188"	"cl0"	"it2"
"Bran-MN090277-MN090188_cl0_itvariant-calling.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Bran-MN090277-MN090188"	"cl0"	"itvariant-calling"
"Jaime-virosaurus_cl21_consensus"	9081	"No"	""	10	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jaime-virosaurus"	"cl21"	"consensus"
"Jaime-virosaurus_cl21_it1.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jaime-virosaurus"	"cl21"	"it1"
"Jaime-virosaurus_cl21_it2.consensus_ivar"	9042	"No"	""	8	6	0	"High-quality"	"High-quality"	99.69	"AAI-based (high-confidence)"	0.0	1.0	""	"Jaime-virosaurus"	"cl21"	"it2"
"Jaime-virosaurus_cl21_itvariant-calling.consensus_ivar"	9044	"No"	""	7	6	0	"High-quality"	"High-quality"	99.68	"AAI-based (high-confidence)"	0.0	1.0	""	"Jaime-virosaurus"	"cl21"	"itvariant-calling"
