,,mismatches,identities,query_length,number_of_gaps,number_of_Ns,alignment_length,got,db,alignment_path
Jon-reference_cl43_it2.consensus_ivar,MN090240.1,74,1875,9648,7066,0,9648,Jon,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.reference_cl43_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl43_it2.consensus_ivar,MN090277.1,10,2108,9696,7114,0,9696,Jon,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.reference_cl43_it2.consensus_ivar.vs.MN090277.1.aln
Jon-virosaurus_cl0_it2.consensus_ivar,MN090240.1,278,8426,9769,3,1052,9769,Jon,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.virosaurus_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-virosaurus_cl0_it2.consensus_ivar,MN090277.1,0,8714,9766,0,1052,9766,Jon,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-virosaurus_cl14_it2.consensus_ivar,MN090240.1,191,6396,9151,195,2368,9151,Jon,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.virosaurus_cl14_it2.consensus_ivar.vs.MN090240.1.aln
Jon-virosaurus_cl14_it2.consensus_ivar,MN090277.1,10,6578,9259,303,2368,9259,Jon,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.virosaurus_cl14_it2.consensus_ivar.vs.MN090277.1.aln
Jon-virosaurus_cl20_it2.consensus_ivar,MN090240.1,74,1875,9649,7066,0,9649,Jon,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.virosaurus_cl20_it2.consensus_ivar.vs.MN090240.1.aln
Jon-virosaurus_cl20_it2.consensus_ivar,MN090277.1,10,2108,9697,7114,0,9697,Jon,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.virosaurus_cl20_it2.consensus_ivar.vs.MN090277.1.aln
Jon-virosaurus_cl6_it2.consensus_ivar,MN090240.1,282,8730,9297,3,221,9297,Jon,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.virosaurus_cl6_it2.consensus_ivar.vs.MN090240.1.aln
Jon-virosaurus_cl6_it2.consensus_ivar,MN090277.1,1,9072,9294,0,221,9294,Jon,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.virosaurus_cl6_it2.consensus_ivar.vs.MN090277.1.aln
Jorah-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,0,9010,9011,0,1,9011,Jorah,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jorah.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jorah-MN090277_cl1_it2.consensus_ivar,MZ766668.1,0,9010,9011,1,0,9011,Jorah,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jorah.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jorah-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,0,9010,9011,0,1,9011,Jorah,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jorah.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jorah-reference_cl0_it2.consensus_ivar,MZ766668.1,0,9010,9532,0,522,9532,Jorah,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jorah.reference_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jorah-virosaurus_cl2_it2.consensus_ivar,MZ766668.1,0,8908,9122,103,111,9122,Jorah,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jorah.virosaurus_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Rickon-MN090188_cl0_it2.consensus_ivar,MN090188.1,0,9055,9056,0,1,9056,Rickon,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Rickon.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Rickon-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,0,9055,9232,0,177,9232,Rickon,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Rickon.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Rickon-MN090277_cl0_it2.consensus_ivar,MN090188.1,0,9055,9232,0,177,9232,Rickon,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Rickon.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Rickon-reference_cl0_it2.consensus_ivar,MN090188.1,0,9054,9084,1,29,9084,Rickon,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Rickon.reference_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Rickon-virosaurus_cl0_it2.consensus_ivar,MN090188.1,0,9040,9089,15,34,9089,Rickon,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Rickon.virosaurus_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Robb-MN090188_cl0_it2.consensus_ivar,MN090188.1,0,9056,9056,0,0,9056,Robb,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Robb.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Robb-MN090188_cl0_it2.consensus_ivar,MN090277.1,49,9004,9235,179,0,9235,Robb,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Robb.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Robb-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,0,9056,9232,0,1,9232,Robb,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Robb.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Robb-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,51,9177,9235,3,1,9235,Robb,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Robb.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Robb-MN090277_cl0_it2.consensus_ivar,MN090188.1,0,9056,9232,0,1,9232,Robb,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Robb.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Robb-MN090277_cl0_it2.consensus_ivar,MN090277.1,51,9177,9235,3,1,9235,Robb,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Robb.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Robb-reference_cl1_it2.consensus_ivar,MN090188.1,0,9056,9294,0,221,9294,Robb,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Robb.reference_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Robb-reference_cl1_it2.consensus_ivar,MN090277.1,49,9021,9297,3,221,9297,Robb,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Robb.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Robb-virosaurus_cl0_it2.consensus_ivar,MN090188.1,0,9056,9294,0,221,9294,Robb,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Robb.virosaurus_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Robb-virosaurus_cl0_it2.consensus_ivar,MN090277.1,49,9021,9297,3,221,9297,Robb,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Robb.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Sansa-MN090240_cl0_it2.consensus_ivar,MN090240.1,58,8956,9025,0,1,9025,Sansa,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Sansa-MN090240_cl0_it2.consensus_ivar,MN090277.1,223,8798,9235,210,1,9235,Sansa,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Sansa-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,78,8937,9229,0,1,9229,Sansa,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Sansa-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,203,9022,9235,6,1,9235,Sansa,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Sansa-MN090277_cl0_it2.consensus_ivar,MN090240.1,78,8937,9229,0,1,9229,Sansa,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Sansa-MN090277_cl0_it2.consensus_ivar,MN090277.1,203,9022,9235,6,1,9235,Sansa,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Sansa-reference_cl0_it2.consensus_ivar,MN090240.1,1674,7247,12493,91,82,12493,Sansa,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Sansa-reference_cl0_it2.consensus_ivar,MN090277.1,1792,7257,12582,180,82,12582,Sansa,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Sansa-reference_cl1_it2.consensus_ivar,MN090240.1,55,8960,9467,0,400,9467,Sansa,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.reference_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Sansa-reference_cl1_it2.consensus_ivar,MN090277.1,224,8838,9476,9,400,9476,Sansa,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Sansa-virosaurus_cl0_it2.consensus_ivar,MN090240.1,79,8109,9800,7,1560,9800,Sansa,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.virosaurus_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Sansa-virosaurus_cl0_it2.consensus_ivar,MN090277.1,159,8073,9797,4,1560,9797,Sansa,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Sansa-virosaurus_cl1_it2.consensus_ivar,MN090240.1,85,8896,9767,32,231,9767,Sansa,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.virosaurus_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Sansa-virosaurus_cl1_it2.consensus_ivar,MN090277.1,218,8851,9770,35,231,9770,Sansa,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Sansa-virosaurus_cl4_it2.consensus_ivar,MN090240.1,81,8934,9297,0,221,9297,Sansa,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.virosaurus_cl4_it2.consensus_ivar.vs.MN090240.1.aln
Sansa-virosaurus_cl4_it2.consensus_ivar,MN090277.1,200,8873,9297,0,221,9297,Sansa,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Sansa.virosaurus_cl4_it2.consensus_ivar.vs.MN090277.1.aln
Theon-MN090240_cl0_it2.consensus_ivar,MN090240.1,0,9014,9015,0,1,9015,Theon,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Theon.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Theon-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,0,8996,9225,0,229,9225,Theon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Theon.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Theon-MN090277_cl0_it2.consensus_ivar,MN090240.1,0,8996,9225,0,229,9225,Theon,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Theon.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Theon-reference_cl0_it2.consensus_ivar,MN090240.1,0,8997,9288,0,291,9288,Theon,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Theon.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Theon-virosaurus_cl0_it2.consensus_ivar,MN090240.1,0,8997,9288,0,291,9288,Theon,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Theon.virosaurus_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Tyrion-MN090277-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,1168,7771,9308,72,1,9308,Tyrion,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Tyrion-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,196,9035,9236,0,1,9236,Tyrion,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Tyrion-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,77,8927,9012,7,0,9012,Tyrion,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Tyrion-MN090277-MZ766668_cl1_it2.consensus_ivar,MN090277.1,1321,7625,9291,286,0,9291,Tyrion,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Tyrion-MN090277_cl0_it2.consensus_ivar,MZ766668.1,1168,7771,9308,72,1,9308,Tyrion,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MN090277_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Tyrion-MN090277_cl0_it2.consensus_ivar,MN090277.1,196,9035,9236,0,1,9236,Tyrion,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Tyrion-MN090277_cl1_it2.consensus_ivar,MZ766668.1,66,8930,9104,15,0,9104,Tyrion,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Tyrion-MN090277_cl1_it2.consensus_ivar,MN090277.1,1305,7726,9290,201,0,9290,Tyrion,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Tyrion-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,84,8920,9013,7,0,9013,Tyrion,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Tyrion-MZ766668_cl0_it2.consensus_ivar,MN090277.1,1311,7635,9292,286,0,9292,Tyrion,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Tyrion-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,1222,7682,9159,107,0,9159,Tyrion,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Tyrion-MZ766668_cl1_it2.consensus_ivar,MN090277.1,136,8916,9232,180,0,9232,Tyrion,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Tyrion-reference_cl1_it2.consensus_ivar,MZ766668.1,55,8949,9533,7,521,9533,Tyrion,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.reference_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Tyrion-reference_cl1_it2.consensus_ivar,MN090277.1,1316,7624,9674,148,521,9674,Tyrion,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Tyrion-reference_cl2_it2.consensus_ivar,MZ766668.1,1228,7697,9360,66,221,9360,Tyrion,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.reference_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Tyrion-reference_cl2_it2.consensus_ivar,MN090277.1,135,8938,9294,0,221,9294,Tyrion,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.reference_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Tyrion-virosaurus_cl1_it2.consensus_ivar,MZ766668.1,81,8928,9916,2,780,9916,Tyrion,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.virosaurus_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Tyrion-virosaurus_cl1_it2.consensus_ivar,MN090277.1,1290,7654,10026,112,780,10026,Tyrion,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Tyrion-virosaurus_cl21_it2.consensus_ivar,MZ766668.1,1222,7686,9361,66,239,9361,Tyrion,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.virosaurus_cl21_it2.consensus_ivar.vs.MZ766668.1.aln
Tyrion-virosaurus_cl21_it2.consensus_ivar,MN090277.1,136,8920,9295,0,239,9295,Tyrion,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Tyrion.virosaurus_cl21_it2.consensus_ivar.vs.MN090277.1.aln
